PG Count,GSM,Binding ,Paper,Spine
733,55,paperback,crème,40.915
734,55,paperback,crème,40.97
735,55,paperback,crème,41.025
736,55,paperback,crème,41.08
737,55,paperback,crème,41.135
738,55,paperback,crème,41.19
739,55,paperback,crème,41.245
740,55,paperback,crème,41.3
741,55,paperback,crème,41.355
742,55,paperback,crème,41.41
743,55,paperback,crème,41.465
744,55,paperback,crème,41.52
745,55,paperback,crème,41.575
746,55,paperback,crème,41.63
747,55,paperback,crème,41.685
748,55,paperback,crème,41.74
749,55,paperback,crème,41.795
750,55,paperback,crème,41.85
751,55,paperback,crème,41.905
752,55,paperback,crème,41.96
753,55,paperback,crème,42.015
754,55,paperback,crème,42.07
755,55,paperback,crème,42.125
756,55,paperback,crème,42.18
757,55,paperback,crème,42.235
758,55,paperback,crème,42.29
759,55,paperback,crème,42.345
760,55,paperback,crème,42.4
761,55,paperback,crème,42.455
762,55,paperback,crème,42.51
763,55,paperback,crème,42.565
764,55,paperback,crème,42.62
765,55,paperback,crème,42.675
766,55,paperback,crème,42.73
767,55,paperback,crème,42.785
768,55,paperback,crème,42.84
769,55,paperback,crème,42.895
770,55,paperback,crème,42.95
771,55,paperback,crème,43.005
772,55,paperback,crème,43.06
773,55,paperback,crème,43.115
774,55,paperback,crème,43.17
775,55,paperback,crème,43.225
776,55,paperback,crème,43.28
777,55,paperback,crème,43.335
778,55,paperback,crème,43.39
779,55,paperback,crème,43.445
780,55,paperback,crème,43.5
781,55,paperback,crème,43.555
782,55,paperback,crème,43.61
783,55,paperback,crème,43.665
784,55,paperback,crème,43.72
785,55,paperback,crème,43.775
786,55,paperback,crème,43.83
787,55,paperback,crème,43.885
788,55,paperback,crème,43.94
789,55,paperback,crème,43.995
790,55,paperback,crème,44.05
791,55,paperback,crème,44.105
792,55,paperback,crème,44.16
793,55,paperback,crème,44.215
794,55,paperback,crème,44.27
795,55,paperback,crème,44.325
796,55,paperback,crème,44.38
797,55,paperback,crème,44.435
798,55,paperback,crème,44.49
799,55,paperback,crème,44.545
800,55,paperback,crème,44.6
801,55,paperback,crème,44.655
802,55,paperback,crème,44.71
803,55,paperback,crème,44.765
804,55,paperback,crème,44.82
805,55,paperback,crème,44.875
806,55,paperback,crème,44.93
807,55,paperback,crème,44.985
808,55,paperback,crème,45.04
809,55,paperback,crème,45.095
810,55,paperback,crème,45.15
811,55,paperback,crème,45.205
812,55,paperback,crème,45.26
813,55,paperback,crème,45.315
814,55,paperback,crème,45.37
815,55,paperback,crème,45.425
816,55,paperback,crème,45.48
817,55,paperback,crème,45.535
818,55,paperback,crème,45.59
819,55,paperback,crème,45.645
820,55,paperback,crème,45.7
821,55,paperback,crème,45.755
822,55,paperback,crème,45.81
823,55,paperback,crème,45.865
824,55,paperback,crème,45.92
825,55,paperback,crème,45.975
826,55,paperback,crème,46.03
827,55,paperback,crème,46.085
828,55,paperback,crème,46.14
829,55,paperback,crème,46.195
830,55,paperback,crème,46.25
831,55,paperback,crème,46.305
832,55,paperback,crème,46.36
833,55,paperback,crème,46.415
834,55,paperback,crème,46.47
835,55,paperback,crème,46.525
836,55,paperback,crème,46.58
837,55,paperback,crème,46.635
838,55,paperback,crème,46.69
839,55,paperback,crème,46.745
840,55,paperback,crème,46.8
841,55,paperback,crème,46.855
842,55,paperback,crème,46.91
843,55,paperback,crème,46.965
844,55,paperback,crème,47.02
845,55,paperback,crème,47.075
846,55,paperback,crème,47.13
847,55,paperback,crème,47.185
848,55,paperback,crème,47.24
849,55,paperback,crème,47.295
850,55,paperback,crème,47.35
851,55,paperback,crème,47.405
852,55,paperback,crème,47.46
853,55,paperback,crème,47.515
854,55,paperback,crème,47.57
855,55,paperback,crème,47.625
856,55,paperback,crème,47.68
857,55,paperback,crème,47.735
858,55,paperback,crème,47.79
859,55,paperback,crème,47.845
860,55,paperback,crème,47.9
861,55,paperback,crème,47.955
862,55,paperback,crème,48.01
863,55,paperback,crème,48.065
864,55,paperback,crème,48.12
865,55,paperback,crème,48.175
866,55,paperback,crème,48.23
867,55,paperback,crème,48.285
868,55,paperback,crème,48.34
869,55,paperback,crème,48.395
870,55,paperback,crème,48.45
871,55,paperback,crème,48.505
872,55,paperback,crème,48.56
873,55,paperback,crème,48.615
874,55,paperback,crème,48.67
875,55,paperback,crème,48.725
876,55,paperback,crème,48.78
877,55,paperback,crème,48.835
878,55,paperback,crème,48.89
879,55,paperback,crème,48.945
880,55,paperback,crème,49
881,55,paperback,crème,49.055
882,55,paperback,crème,49.11
883,55,paperback,crème,49.165
884,55,paperback,crème,49.22
885,55,paperback,crème,49.275
886,55,paperback,crème,49.33
887,55,paperback,crème,49.385
888,55,paperback,crème,49.44
889,55,paperback,crème,49.495
890,55,paperback,crème,49.55
891,55,paperback,crème,49.605
892,55,paperback,crème,49.66
893,55,paperback,crème,49.715
894,55,paperback,crème,49.77
895,55,paperback,crème,49.825
896,55,paperback,crème,49.88
897,55,paperback,crème,49.935
898,55,paperback,crème,49.99
899,55,paperback,crème,50.045
900,55,paperback,crème,50.1
901,55,paperback,crème,50.155
902,55,paperback,crème,50.21
903,55,paperback,crème,50.265
904,55,paperback,crème,50.32
905,55,paperback,crème,50.375
906,55,paperback,crème,50.43
907,55,paperback,crème,50.485
908,55,paperback,crème,50.54
909,55,paperback,crème,50.595
910,55,paperback,crème,50.65
911,55,paperback,crème,50.705
912,55,paperback,crème,50.76
913,55,paperback,crème,50.815
914,55,paperback,crème,50.87
915,55,paperback,crème,50.925
916,55,paperback,crème,50.98
917,55,paperback,crème,51.035
918,55,paperback,crème,51.09
919,55,paperback,crème,51.145
920,55,paperback,crème,51.2
921,55,paperback,crème,51.255
922,55,paperback,crème,51.31
923,55,paperback,crème,51.365
924,55,paperback,crème,51.42
925,55,paperback,crème,51.475
926,55,paperback,crème,51.53
